City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,ghat,24.9647,10.1728,15.26,21,0,0.89,LY,2023-11-30 03:31:29
244,jining,35.405,116.5814,2.58,18,84,1.82,CN,2023-11-30 03:29:07
245,khash,28.2211,61.2158,13.15,55,0,0.44,IR,2023-11-30 03:31:30
246,piskent,40.8972,69.3506,7.04,82,100,1.61,UZ,2023-11-30 03:31:31
247,hami,42.8,93.45,3.91,19,0,0.85,CN,2023-11-30 03:31:31
248,gebeit,21.0667,36.3167,19.07,87,0,2.33,SD,2023-11-30 03:31:31
249,saint-pierre,-21.3393,55.4781,26.43,57,20,2.06,RE,2023-11-30 03:31:32
250,kerikeri,-35.2268,173.9474,21.62,60,100,0.89,NZ,2023-11-30 03:31:32
251,angra do heroismo,38.65,-27.2167,15.34,77,75,2.68,PT,2023-11-30 03:31:33
252,qamdo,31.1667,97.2333,-0.31,35,91,1.77,CN,2023-11-30 03:30:37
253,hede,33.7681,120.2517,6.7,39,91,5.37,CN,2023-11-30 03:31:33
254,yanchep,-31.55,115.6833,31.68,48,33,5.89,AU,2023-11-30 03:31:34
255,lincheng,19.9078,109.6858,26.07,79,99,7.42,CN,2023-11-30 03:31:34
256,naze,28.3667,129.4833,17.51,63,75,6.69,JP,2023-11-30 03:31:35
257,utrik,11.2278,169.8474,27.65,72,97,9.29,MH,2023-11-30 03:31:35
258,mehndawal,26.9753,83.1117,23.72,44,29,1.45,IN,2023-11-30 03:31:35
259,arcelia,18.2833,-100.2667,23.09,70,53,1.42,MX,2023-11-30 03:31:36
260,mirnyy,62.5353,113.9611,-18.76,77,100,4.92,RU,2023-11-30 03:31:36
261,lazaro cardenas,17.9583,-102.2,25.51,85,79,1.37,MX,2023-11-30 03:31:36
262,luderitz,-26.6481,15.1594,17.47,66,0,2.54,NA,2023-11-30 03:31:37
263,namibe,-15.1961,12.1522,22.94,86,99,2.47,AO,2023-11-30 03:31:37
264,zhigalovo,54.8097,105.1578,-12.21,88,100,0.82,RU,2023-11-30 03:31:38
265,slinger,43.3336,-88.2862,0.27,86,0,3.6,US,2023-11-30 03:31:38
266,rikaze,29.25,88.8833,2.54,37,0,1.4,CN,2023-11-30 03:31:38
267,plouzane,48.3833,-4.6167,8.03,90,100,4.63,FR,2023-11-30 03:31:39
268,geraldton,-28.7667,114.6,27.23,54,4,5.66,AU,2023-11-30 03:31:39
269,portland,45.5234,-122.6762,4.47,76,100,3.13,US,2023-11-30 03:31:19
270,kudahuvadhoo,2.6708,72.8944,28.08,72,42,0.71,MV,2023-11-30 03:31:40
271,fortuna,40.5982,-124.1573,8.51,93,0,0.0,US,2023-11-30 03:31:40
272,la passe,45.5549,-0.8967,7.13,93,100,1.27,FR,2023-11-30 03:31:40
273,brisas de zicatela,15.8369,-97.0419,25.29,65,75,3.09,MX,2023-11-30 03:31:41
274,nuku'alofa,-21.1333,-175.2,29.19,84,75,5.14,TO,2023-11-30 03:31:41
275,zhezqazghan,47.7833,67.7667,-2.68,80,100,7.0,KZ,2023-11-30 03:31:41
276,poretskoye,55.1974,46.3291,-4.84,89,100,6.99,RU,2023-11-30 03:31:41
277,brejo,-3.6844,-42.7503,24.34,87,53,2.0,BR,2023-11-30 03:31:42
278,inverell,-29.7833,151.1167,28.7,38,2,4.47,AU,2023-11-30 03:28:57
279,cacu,-18.5567,-51.1308,23.6,74,99,0.77,BR,2023-11-30 03:31:42
280,inarajan village,13.2736,144.7484,32.54,81,4,7.88,GU,2023-11-30 03:31:42
281,prince rupert,54.3161,-130.3201,8.83,66,100,9.26,CA,2023-11-30 03:31:42
282,nago,26.5881,127.9761,26.47,70,97,4.98,JP,2023-11-30 03:31:43
283,blackwater,-23.5833,148.8833,36.5,19,4,2.93,AU,2023-11-30 03:31:43
